fips,state,densityMi,pop2024,pop2023,pop2020,pop2019,pop2010,growthRate,growth,growthSince2010,area,rank,percent
72,Puerto Rico,922.59873,3191269,3205691,3281557,3193553,3721525,-0.0045,-14422,-0.14248,3459,1,0.822860177
11,District of Columbia,11262.21311,686995,678972,670839,708253,605282,0.01182,8023,0.135,61,2,0.177139823
