"Year","Month","CPI"
2010,"Nov",218.803
2011,"Nov",226.23
2012,"Nov",230.221
2013,"Nov",233.069
2014,"Nov",236.151
2015,"Nov",237.336
2016,"Nov",241.353
2017,"Nov",246.669
2018,"Nov",252.038
2019,"Nov",257.208
2020,"Nov",260.229
2021,"Nov",277.948
2022,"Nov",297.711
2023,"Nov",307.051
2024,"Nov",315.493
1999,"Dec",168.3
2000,"Dec",174
2001,"Dec",176.7
2002,"Dec",180.9
2003,"Dec",184.3
2004,"Dec",190.3
2005,"Dec",196.8
2006,"Dec",201.8
2007,"Dec",210.036
2008,"Dec",210.228
2009,"Dec",215.949
2010,"Dec",219.179
2011,"Dec",225.672
2012,"Dec",229.601
2013,"Dec",233.049
2014,"Dec",234.812
2015,"Dec",236.525
2016,"Dec",241.432
2017,"Dec",246.524
2018,"Dec",251.233
2019,"Dec",256.974
2020,"Dec",260.474
2021,"Dec",278.802
2022,"Dec",296.797
2023,"Dec",306.746
2024,"Dec",315.605
